Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value,LandArea,Areaname,Density
2012,ALABAMA,01,BLACK BELT,40,AUTAUGA,1,119,594.44,"Autauga, AL",0.200188413
2007,ALABAMA,01,BLACK BELT,40,AUTAUGA,1,201,594.44,"Autauga, AL",0.338133369
2002,ALABAMA,01,BLACK BELT,40,AUTAUGA,1,212,594.44,"Autauga, AL",0.35663818
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,256,1589.78,"Baldwin, AL",0.16102857
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,275,1589.78,"Baldwin, AL",0.172979909
2002,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,1802,1589.78,"Baldwin, AL",1.133490168
2012,ALABAMA,01,WIREGRASS,60,BARBOUR,5,42,884.88,"Barbour, AL",0.047464063
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,BIBB,7,57,622.58,"Bibb, AL",0.091554499
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,BIBB,7,9,622.58,"Bibb, AL",0.014455974
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,470,644.78,"Blount, AL",0.728930798
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,344,644.78,"Blount, AL",0.533515308
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,107,644.78,"Blount, AL",0.165948075
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BUTLER,13,147,776.83,"Butler, AL",0.189230591
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BUTLER,13,65,776.83,"Butler, AL",0.083673391
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,207,605.87,"Calhoun, AL",0.341657451
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,231,605.87,"Calhoun, AL",0.381269909
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,99,605.87,"Calhoun, AL",0.16340139
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,17,596.53,"Chambers, AL",0.028498148
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,70,553.7,"Cherokee, AL",0.12642225
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,282,553.7,"Cherokee, AL",0.509301066
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,12,553.7,"Cherokee, AL",0.021672386
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,CHILTON,21,25,692.85,"Chilton, AL",0.036082846
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,63,913.5,"Choctaw, AL",0.068965517
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,14,913.5,"Choctaw, AL",0.01532567
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CLARKE,25,45,1238.47,"Clarke, AL",0.036335155
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,CLAY,27,183,603.96,"Clay, AL",0.303000199
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,CLAY,27,67,603.96,"Clay, AL",0.110934499
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,128,560.1,"Cleburne, AL",0.22853062
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,60,560.1,"Cleburne, AL",0.107123728
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,35,560.1,"Cleburne, AL",0.062488841
2012,ALABAMA,01,WIREGRASS,60,COFFEE,31,12,678.97,"Coffee, AL",0.017673829
2007,ALABAMA,01,WIREGRASS,60,COFFEE,31,18,678.97,"Coffee, AL",0.026510744
2002,ALABAMA,01,WIREGRASS,60,COFFEE,31,33,678.97,"Coffee, AL",0.048603031
2007,ALABAMA,01,NORTHERN VALLEY,10,COLBERT,33,37,592.62,"Colbert, AL",0.062434612
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CONECUH,35,10,850.16,"Conecuh, AL",0.011762492
