Areaname,ST,,LND110210D
UNITED STATES,00,0,3531905.43
ALABAMA,01,0,50645.33
"Autauga, AL",01,1,594.44
"Baldwin, AL",01,3,1589.78
"Barbour, AL",01,5,884.88
"Bibb, AL",01,7,622.58
"Blount, AL",01,9,644.78
"Bullock, AL",01,11,622.81
"Butler, AL",01,13,776.83
"Calhoun, AL",01,15,605.87
"Chambers, AL",01,17,596.53
"Cherokee, AL",01,19,553.7
"Chilton, AL",01,21,692.85
"Choctaw, AL",01,23,913.5
"Clarke, AL",01,25,1238.47
"Clay, AL",01,27,603.96
"Cleburne, AL",01,29,560.1
"Coffee, AL",01,31,678.97
"Colbert, AL",01,33,592.62
"Conecuh, AL",01,35,850.16
"Coosa, AL",01,37,650.93
"Covington, AL",01,39,1030.46
"Crenshaw, AL",01,41,608.84
"Cullman, AL",01,43,734.84
"Dale, AL",01,45,561.15
"Dallas, AL",01,47,978.7
"DeKalb, AL",01,49,777.09
"Elmore, AL",01,51,618.49
"Escambia, AL",01,53,945.08
"Etowah, AL",01,55,534.99
"Fayette, AL",01,57,627.66
"Franklin, AL",01,59,633.82
"Geneva, AL",01,61,574.41
"Greene, AL",01,63,647.11
"Hale, AL",01,65,643.94
"Henry, AL",01,67,561.75
"Houston, AL",01,69,579.82
"Jackson, AL",01,71,1077.87
"Jefferson, AL",01,73,1111.28
"Lamar, AL",01,75,604.85
"Lauderdale, AL",01,77,667.7
"Lawrence, AL",01,79,690.68
"Lee, AL",01,81,607.54
"Limestone, AL",01,83,559.94
"Lowndes, AL",01,85,715.91
"Macon, AL",01,87,608.89
"Madison, AL",01,89,801.59
"Marengo, AL",01,91,976.88
"Marion, AL",01,93,742.29
"Marshall, AL",01,95,565.84
"Mobile, AL",01,97,1229.44
"Monroe, AL",01,99,1025.68
"Montgomery, AL",01,101,784.25
"Morgan, AL",01,103,579.34
"Perry, AL",01,105,719.66
"Pickens, AL",01,107,881.41
"Pike, AL",01,109,672.09
"Randolph, AL",01,111,580.55
"Russell, AL",01,113,641.14
"St. Clair, AL",01,115,631.9
"Shelby, AL",01,117,784.93
"Sumter, AL",01,119,903.89
"Talladega, AL",01,121,736.78
"Tallapoosa, AL",01,123,716.52
"Tuscaloosa, AL",01,125,1321.76
"Walker, AL",01,127,791.19
"Washington, AL",01,129,1080.21
"Wilcox, AL",01,131,888.5
"Winston, AL",01,133,612.98
ALASKA,02,0,570640.95
"Aleutians East, AK",02,13,6981.94
"Aleutians West, AK",02,16,4390.28
"Anchorage, AK",02,20,1704.68
"Bethel, AK",02,50,40570
"Bristol Bay, AK",02,60,503.84
"Denali, AK",02,68,12751.41
"Dillingham, AK",02,70,18568.78
"Fairbanks North Star, AK",02,90,7338.21
"Haines, AK",02,100,2318.6
"Hoonah-Angoon, AK",02,105,7524.92
"Juneau, AK",02,110,2701.93
"Kenai Peninsula, AK",02,122,16075.33
"Ketchikan Gateway, AK",02,130,4858.41
"Kodiak Island, AK",02,150,6549.58
"Lake and Peninsula, AK",02,164,23652.01
"Matanuska-Susitna, AK",02,170,24607.9
"Nome, AK",02,180,22961.76
"North Slope, AK",02,185,88695.41
"Northwest Arctic, AK",02,188,35572.58
"Petersburg, AK",02,195,3281.98
"Prince of Wales-Hyder, AK",02,198,3922.87
"Sitka, AK",02,220,2870.34
"Skagway, AK",02,230,452.33
"Southeast Fairbanks, AK",02,240,24768.81
"Valdez-Cordova, AK",02,261,34239.88
"Wade Hampton, AK",02,270,17081.43
"Wrangell, AK",02,275,2541.48
"Yakutat, AK",02,282,7649.46
"Yukon-Koyukuk, AK",02,290,145504.79
ARIZONA,04,0,113594.08
"Apache, AZ",04,1,11197.52
"Cochise, AZ",04,3,6165.69
"Coconino, AZ",04,5,18618.89
"Gila, AZ",04,7,4757.93
"Graham, AZ",04,9,4622.6
"Greenlee, AZ",04,11,1843.13
"La Paz, AZ",04,12,4499.63
"Maricopa, AZ",04,13,9200.14
"Mohave, AZ",04,15,13311.08
"Navajo, AZ",04,17,9950.42
"Pima, AZ",04,19,9187.04
"Pinal, AZ",04,21,5365.61
"Santa Cruz, AZ",04,23,1236.92
"Yavapai, AZ",04,25,8123.5
"Yuma, AZ",04,27,5513.99
ARKANSAS,05,0,52035.48
"Arkansas, AR",05,1,988.77
"Ashley, AR",05,3,925.35
"Baxter, AR",05,5,554.28
"Benton, AR",05,7,847.36
"Boone, AR",05,9,590.23
"Bradley, AR",05,11,649.23
"Calhoun, AR",05,13,628.58
"Carroll, AR",05,15,630.09
"Chicot, AR",05,17,644.3
"Clark, AR",05,19,866.07
"Clay, AR",05,21,639.47
"Cleburne, AR",05,23,553.69
"Cleveland, AR",05,25,597.78
"Columbia, AR",05,27,766.05
"Conway, AR",05,29,552.25
"Craighead, AR",05,31,707.21
"Crawford, AR",05,33,593.09
"Crittenden, AR",05,35,609.76
"Cross, AR",05,37,616.38
"Dallas, AR",05,39,667.39
"Desha, AR",05,41,768.15
"Drew, AR",05,43,828.36
"Faulkner, AR",05,45,647.88
"Franklin, AR",05,47,608.86
"Fulton, AR",05,49,618.19
"Garland, AR",05,51,677.78
"Grant, AR",05,53,631.81
"Greene, AR",05,55,577.7
"Hempstead, AR",05,57,727.52
"Hot Spring, AR",05,59,615.2
"Howard, AR",05,61,588.55
"Independence, AR",05,63,763.95
"Izard, AR",05,65,580.58
"Jackson, AR",05,67,633.94
"Jefferson, AR",05,69,870.75
"Johnson, AR",05,71,659.8
"Lafayette, AR",05,73,528.27
"Lawrence, AR",05,75,587.61
"Lee, AR",05,77,602.62
"Lincoln, AR",05,79,561.52
"Little River, AR",05,81,532.25
"Logan, AR",05,83,708.13
"Lonoke, AR",05,85,770.73
"Madison, AR",05,87,834.26
"Marion, AR",05,89,597.01
"Miller, AR",05,91,625.58
"Mississippi, AR",05,93,900.57
"Monroe, AR",05,95,607.12
"Montgomery, AR",05,97,779.88
"Nevada, AR",05,99,617.84
"Newton, AR",05,101,820.9
"Ouachita, AR",05,103,732.78
"Perry, AR",05,105,551.4
"Phillips, AR",05,107,695.66
"Pike, AR",05,109,600.62
"Poinsett, AR",05,111,758.39
"Polk, AR",05,113,857.68
"Pope, AR",05,115,812.55
"Prairie, AR",05,117,647.96
"Pulaski, AR",05,119,759.76
"Randolph, AR",05,121,652.19
"St. Francis, AR",05,123,634.77
"Saline, AR",05,125,723.6
"Scott, AR",05,127,892.32
"Searcy, AR",05,129,666.1
"Sebastian, AR",05,131,531.91
"Sevier, AR",05,133,565.13
"Sharp, AR",05,135,604.44
"Stone, AR",05,137,606.41
"Union, AR",05,139,1039.21
"Van Buren, AR",05,141,708.14
"Washington, AR",05,143,941.97
"White, AR",05,145,1035.08
"Woodruff, AR",05,147,586.79
"Yell, AR",05,149,929.98
CALIFORNIA,06,0,155779.22
"Alameda, CA",06,1,739.02
"Alpine, CA",06,3,738.33
"Amador, CA",06,5,594.58
"Butte, CA",06,7,1636.46
"Calaveras, CA",06,9,1020.01
"Colusa, CA",06,11,1150.73
"Contra Costa, CA",06,13,715.94
"Del Norte, CA",06,15,1006.37
"El Dorado, CA",06,17,1707.88
"Fresno, CA",06,19,5957.99
"Glenn, CA",06,21,1313.95
"Humboldt, CA",06,23,3567.99
"Imperial, CA",06,25,4176.6
"Inyo, CA",06,27,10180.88
"Kern, CA",06,29,8131.92
"Kings, CA",06,31,1389.42
"Lake, CA",06,33,1256.46
"Lassen, CA",06,35,4541.18
"Los Angeles, CA",06,37,4057.88
"Madera, CA",06,39,2137.07
"Marin, CA",06,41,520.31
"Mariposa, CA",06,43,1448.82
"Mendocino, CA",06,45,3506.34
"Merced, CA",06,47,1934.97
"Modoc, CA",06,49,3917.77
"Mono, CA",06,51,3048.98
"Monterey, CA",06,53,3280.6
"Napa, CA",06,55,748.36
"Nevada, CA",06,57,957.77
"Orange, CA",06,59,790.57
"Placer, CA",06,61,1407.01
"Plumas, CA",06,63,2553.04
"Riverside, CA",06,65,7206.48
"Sacramento, CA",06,67,964.64
"San Benito, CA",06,69,1388.71
"San Bernardino, CA",06,71,20056.94
"San Diego, CA",06,73,4206.63
"San Francisco, CA",06,75,46.87
"San Joaquin, CA",06,77,1391.32
"San Luis Obispo, CA",06,79,3298.57
"San Mateo, CA",06,81,448.41
"Santa Barbara, CA",06,83,2735.09
"Santa Clara, CA",06,85,1290.1
"Santa Cruz, CA",06,87,445.17
"Shasta, CA",06,89,3775.4
"Sierra, CA",06,91,953.21
"Siskiyou, CA",06,93,6277.89
"Solano, CA",06,95,821.77
"Sonoma, CA",06,97,1575.85
"Stanislaus, CA",06,99,1494.83
"Sutter, CA",06,101,602.41
